PC1,PC2,PC3,PC4,PC5,PC6,PC7,artist_name,original_index,Cluster
1.643760105048939,2.1358495941802156,1.2226976903495985,-2.2101496054155154,-1.2507524923245508,0.5451642254327996,-0.613802549074702,A Thousand Horses,0,1
-3.842492722151804,1.4041100942131968,-0.554985769061559,-1.3056475012167947,0.8832867440363896,-0.005890869975077433,0.7074692834043936,Mark Mothersbaugh,1,0
2.23190325671885,0.09495836076527973,-0.5065484297420941,0.39795674862065505,1.8074785773208808,-0.34680000720405657,0.7083688369578125,Unified Highway,2,1
1.4855238174831715,0.4274180954374438,-0.2838909801210663,0.03789510207604071,0.3311807421703881,1.351191770052883,0.25396363459782534,Stooki Sound,3,1
-0.9094335585538381,-1.9760904248954874,3.4656705884254553,0.10180811339013061,-1.3171275777756883,0.007272974215742538,1.8685951810728876,Bill Hicks,4,1
0.08976419439813768,0.08907637220915234,0.43764682414629597,2.662336130502459,0.8946488764044823,-0.4573058210004162,-1.081645476443942,Sugar Kane Music,5,1
0.7639908781193372,1.3277013988845596,0.22226183790355403,0.871843412329144,-0.14600232496600435,-1.1780148736891156,0.2637794249970709,Justin Timberlake,6,1
2.3748489362206215,-0.5525010614991361,0.5587504942820058,1.784429515485128,0.21048958607712895,-1.4447009332230754,0.0137832400483532,Lil Keke,7,1
2.0920794667547584,0.6742509435854146,0.6959730127057132,-1.2863944471207716,-0.024041234587829755,-0.256503158169439,-1.3722018072759365,Cole Swindell,8,1
0.363617309768293,-0.4590796713506654,-1.4700167848308923,0.374343259362262,-1.4995548113079133,-0.7322856283079476,1.0999141883107633,Hayden James,9,1
-1.2569303434117995,-2.3134494545885835,3.297968687762398,2.0867954553822954,0.4454934734470505,-0.6070732173754233,1.956905974832903,Martin Lawrence,10,1
0.5220144628708974,-0.751497655792987,-1.6762767062358361,0.7529449766535488,-0.0470341208010299,-0.3582628503574529,0.7095327156538412,Reel Big Fish,11,1
-1.253857975813034,-0.8262943183966445,1.1686765966680046,0.4802320150282723,-1.2180437533604285,-0.3336711769530988,-1.430886946089824,Ayumi Hamasaki,12,0
1.5210182936324672,-0.024334232719583945,-0.7363114790939126,0.9763629791940149,0.2681243274667383,-1.5029550626853758,-0.42530746089555993,LEISURE,13,1
-0.13081544568159836,-0.7921832094739389,-0.9211915243000515,-0.569599300839222,1.401319275114414,-0.3791930078192037,0.35662546103182496,Rancid,14,1
-1.4604833342923915,-0.008403662477970607,-1.1711430572073553,-1.5331071347266456,0.7925260841309014,0.5831288436111352,0.9495707443112813,Palace,15,0
-3.180713189517151,-0.517088198966221,-0.08094757705395612,-0.0034561532257525846,-1.3796265297328079,-0.23582051618008057,0.2277531278410981,Dame Joan Sutherland,16,0
2.2310509467654303,-0.30571356269339,-0.48097077155544105,0.4082016399852139,-0.2127122123858813,-2.704747357255954,-0.7768392690251814,Bob Marley & The Wailers,17,1
0.684358775806269,0.4869323509315729,-0.20623807843701772,0.5604793273741496,0.17112444917783462,1.0302961389918992,0.0713950963120637,Sigrid,18,1
0.9877912029730115,-0.5313419791839991,-1.2503942356371562,-0.5481732266147369,-1.1646477961279174,-0.2099252007364132,0.6574760097743786,HUNNY,19,1
0.8088226933465746,-0.4401336952662424,-0.8776398516198397,0.5425912037744908,1.1153824492481876,-2.498520944151903,-0.544005284321924,Jimmy Cliff,20,1
1.4060393946737515,0.4095876498578184,0.036849564851823786,-0.7153644098131641,2.1897013888010175,-0.7201906047158031,0.3169046114445092,Richie Spice,21,1
-4.95173905623986,0.40123979436966833,-1.2083404557836699,0.32864434529312186,-0.6589872529709659,-0.6607472911547685,0.5271927658854777,Jeff Beal,22,0
-4.296683897316481,-0.08168995266211089,-1.385917760889788,-0.9771949819707466,1.2655208149828279,0.26933330877780454,0.29566385200003975,Randy Edelman,23,0
1.1506013542069475,-0.4687767928994547,-0.09079112085385727,-0.6450580673002801,1.0430428245262375,0.4244585568763209,-0.6513647520753434,Natalie Merchant,24,1
2.067712741376236,-0.38583711369196155,-0.24547872224393988,1.9061806203335305,-0.7903309862384377,1.45915109850917,-0.4801167713951963,THE YELLOW MONKEY,25,1
1.8057952827599217,0.8470049550282359,-0.3571032957935164,-0.3071682980027594,-2.184348782606264,-1.415875344672419,0.6350168608032042,8 Kalacas,26,1
-0.3202770427308705,-1.501744246105849,-1.3873634218820843,-2.7793485039975065,-1.4051388464500074,1.2880304645967349,0.8817646333257811,Deftones,27,1
1.0795607809379608,0.4474907563723486,0.7593582475091533,-1.6206148791554724,-0.459646953440812,-0.2922553966121639,1.3290080161303424,Demarco,28,1
2.121163855301462,1.6346886078529845,-0.3020833207211246,0.28867996275017965,-0.8558028699615168,0.38900095296350545,0.9678209199691381,Motion City Soundtrack,29,1
0.22823505207179334,-0.194366284685996,-0.19265392922551783,-0.3140526797520302,0.6842935000113046,1.2321478337219112,-0.5677537390435571,Robert Earl Keen,30,1
-0.25459959048655884,0.03609855779698987,1.053873876602156,-0.26034943244807485,1.8409937662736329,0.15500628315834575,-1.323034943052683,Never Shout Never,31,1
-0.4411734270362489,-0.8259973594797555,0.3513720438026854,2.2955758835486435,-0.3047171294404525,1.3540709575426673,-0.2438614541260779,The Internet,32,1
1.5862422574010215,-0.9490699921865859,-2.0384527275220914,1.1339982419999026,-0.3019513044019269,-0.651772829219989,0.6904257152510656,Raphael Saadiq,33,1
1.8498400547102765,-0.02179534832953447,0.08046520787501221,-0.7522205698387308,-0.011207897312994744,-0.596683405671462,0.6687721333848698,Huncho Jack,34,1
